Waterbody,LabNo,Sampling Site Name,Date Collected,Parameter,Unit,Result,DetectionLimit,DQCodes
Hancock,30734,Reynold's Runoff,5/1/2018,Total Suspended Solids,mg/l,2.4,0.4,I
Hancock,30810,Reynold's Runoff,6/5/2018,Total Suspended Solids,mg/l,2,0.4,I
Hancock,30884,Reynold's Runoff,7/10/2018,Total Suspended Solids,mg/l,2.4,0.4,I
Hancock,30222,Reynold's Runoff,11/7/2017,Total Suspended Solids,mg/l,4.4,0.4,NA
Hancock,30432,Reynold's Runoff,1/2/2018,Total Suspended Solids,mg/l,7.2,0.4,NA
Hancock,30509,Reynold's Runoff,2/6/2018,Total Suspended Solids,mg/l,9.2,0.4,NA
Hancock,30589,Reynold's Runoff,3/6/2018,Total Suspended Solids,mg/l,12,0.4,NA
Hancock,30655,Reynold's Runoff,4/3/2018,Total Suspended Solids,mg/l,3.2,0.4,NA
Hancock,30974,Reynold's Runoff,8/7/2018,Total Suspended Solids,mg/l,5.2,0.4,NA
Hancock,31063,Reynold's Runoff,9/4/2018,Total Suspended Solids,mg/l,4,0.4,NA
Hancock,30808,Wading Bird North,6/5/2018,Total Suspended Solids,mg/l,10,0.4,A
Hancock,30224,Wading Bird North,11/7/2017,Total Suspended Solids,mg/l,12.8,0.4,NA
Hancock,30424,Wading Bird North,12/5/2017,Total Suspended Solids,mg/l,20,0.4,NA
Hancock,30434,Wading Bird North,1/2/2018,Total Suspended Solids,mg/l,105,0.4,NA
Hancock,30511,Wading Bird North,2/6/2018,Total Suspended Solids,mg/l,15.6,0.4,NA
Hancock,30591,Wading Bird North,3/6/2018,Total Suspended Solids,mg/l,27.6,0.4,NA
Hancock,30657,Wading Bird North,4/3/2018,Total Suspended Solids,mg/l,26.5,0.4,NA
Hancock,30736,Wading Bird North,5/1/2018,Total Suspended Solids,mg/l,32,0.4,NA
Hancock,30882,Wading Bird North,7/10/2018,Total Suspended Solids,mg/l,6.8,0.4,NA
Hancock,30971,Wading Bird North,8/7/2018,Total Suspended Solids,mg/l,8.4,0.4,NA
Hancock,31060,Wading Bird North,9/4/2018,Total Suspended Solids,mg/l,5.2,0.4,NA
Hancock,30225,Wading Bird South,11/7/2017,Total Suspended Solids,mg/l,18.4,0.4,A
Hancock,30512,Wading Bird South,2/6/2018,Total Suspended Solids,mg/l,18,0.4,A
Hancock,31059,Wading Bird South,9/4/2018,Total Suspended Solids,mg/l,10.4,0.4,A
Hancock,30425,Wading Bird South,12/5/2017,Total Suspended Solids,mg/l,33.2,0.4,NA
Hancock,30435,Wading Bird South,1/2/2018,Total Suspended Solids,mg/l,45.5,0.4,NA
Hancock,30592,Wading Bird South,3/6/2018,Total Suspended Solids,mg/l,24.7,0.4,NA
Hancock,30658,Wading Bird South,4/3/2018,Total Suspended Solids,mg/l,57,0.4,NA
Hancock,30732,Wading Bird South,5/1/2018,Total Suspended Solids,mg/l,46,0.4,NA
Hancock,30807,Wading Bird South,6/5/2018,Total Suspended Solids,mg/l,11.6,0.4,NA
Hancock,30881,Wading Bird South,7/10/2018,Total Suspended Solids,mg/l,10.8,0.4,NA
Hancock,30970,Wading Bird South,8/7/2018,Total Suspended Solids,mg/l,8.8,0.4,NA
